pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,activation,activity_regularizer,batch_norm,batch_size,bias_regularizer,data_augmentation,dropout_rate,kernel_initializer,kernel_regularizer,learning_rate,learning_rate_scheduler,learning_rate_scheduler_polynomial_power,lookahead,lookahead_learning_rate,lookahead_num_steps,num_layers,num_units_first,num_units_last,optimizer,regularizer_factor,shake_shake,shuffle_each_epoch,skip_co,snapshot_ensemble,weight_averaging,anti_grad_var_rate,anti_momentum_rate,data_augmentation_cutout_patch_ratio,learning_rate_scheduler_cosine_alpha,learning_rate_scheduler_cosine_restarts_mmul,learning_rate_scheduler_cosine_restarts_tmul,learning_rate_scheduler_decay_rate,learning_rate_scheduler_decay_steps,learning_rate_scheduler_polynomial_end_learning_rate,shake_drop,snapshot_ensemble_period_increase,snapshot_ensemble_period_init,snapshot_ensemble_reset_weights,weight_averaging_cycle_length,shake_drop_drop_proba
ordinal,none,none,none,,none,,,,,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,,0.01,,,,,,,,False,,,,,
onehot,ka_rbf,none,minmax,977,none,,,,,,,1.0993326718788,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
onehot,lda,none,minmax,,none,,0.6806377111772,,,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
none,lda,none,minmax,,none,,0.8123198503473,,,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
none,agglomerator,selectp,none,,poly,,0.4378265694256,70,,,,,2,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
ordinal,pca,selectp,std,,none,,,34,False,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
onehot,pca,selectp,std,,none,,,8,True,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
onehot,pca,none,none,,none,,,,,,,,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
ordinal,agglomerator,selectp,minmax,,poly,,0.1055841137292,73,,,,,2,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
none,lda,selectp,minmax,,poly,,0.2635781816406,85,,,,,2,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
onehot,ka_nystroem,selectp,none,64,none,poly,,8,,2.706898477719,4.0,1.35986241e-05,,relu,none,off,32,none,none,0.1,glorot_uniform,none,0.0001,none,1.0,False,0.2,5,9,512,512,SGD,0.01,False,True,True,False,False,0.0001,0.01,0.1,0.0,1.0,2.0,0.9,1000.0,1e-05,False,0.0,20.0,False,5.0,0.5
