pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,metric,n_neighbors,weights,p
ordinal,none,none,none,,none,,,,,,,,,minkowski,5,uniform,2.0
none,lda,selectp,none,,poly,,0.6414618960949,54,,,,,2,minkowski,5,uniform,2.0
ordinal,ka_rbf,none,none,615,none,,,,,,,569.2939866014558,,minkowski,5,uniform,2.0
none,ka_nystroem,selectp,minmax,650,none,rbf,,57,,,,20.3763679942874,,minkowski,5,uniform,2.0
onehot,kernel_pca,selectp,std,,none,poly,0.186150385816,76,False,40.0469710294134,5.0,0.0001664932636,,minkowski,5,uniform,2.0
ordinal,ka_rbf,selectp,minmax,333,none,,,80,,,,1.1869734e-06,,minkowski,5,uniform,2.0
ordinal,kernel_pca,selectp,minmax,,none,sigmoid,0.1628457037184,46,,9.2851213067968,2.0,1.292449e-06,,minkowski,5,uniform,2.0
onehot,fastica,selectp,std,,none,,0.4464390246778,91,True,,,,,minkowski,5,uniform,2.0
none,pca,none,none,,none,,,,,,,,,minkowski,5,uniform,2.0
none,ka_rbf,none,minmax,401,none,,,,,,,53.8993502171502,,minkowski,5,uniform,2.0
onehot,agglomerator,selectp,minmax,,none,,0.2348850260554,12,,,,,,minkowski,5,uniform,2.0
none,ka_nystroem,none,minmax,274,none,cosine,,,,,,,,minkowski,5,uniform,2.0
none,none,selectp,none,,poly,,,31,,,,,2,minkowski,5,uniform,2.0
ordinal,lda,none,none,,none,,0.5689809378926,,,,,,,minkowski,5,uniform,2.0
none,ka_rbf,none,std,666,none,,,,False,,,33254.272005757026,,minkowski,5,uniform,2.0
none,none,selectp,minmax,,poly,,,60,,,,,2,minkowski,5,uniform,2.0
onehot,fastica,selectp,std,,poly,,0.9374762397803,33,False,,,,2,minkowski,5,uniform,2.0
onehot,kernel_pca,none,std,,none,cosine,0.3793748251389,,False,,,,,minkowski,5,uniform,2.0
onehot,pca,none,minmax,,none,,,,,,,,,minkowski,5,uniform,2.0
onehot,agglomerator,none,minmax,,poly,,0.4752937610233,,,,,,2,minkowski,5,uniform,2.0
onehot,none,selectp,std,,poly,,,46,True,,,,2,minkowski,5,uniform,2.0
onehot,pca,selectp,none,,none,,,30,,,,,,minkowski,5,uniform,2.0
ordinal,kernel_pca,none,std,,none,rbf,0.3728151367526,,False,,,9.90593251e-05,,minkowski,5,uniform,2.0
ordinal,ka_nystroem,none,none,646,none,rbf,,,,,,0.092303569653,,minkowski,5,uniform,2.0
none,pca,none,std,,none,,,,True,,,,,minkowski,5,uniform,2.0
onehot,agglomerator,none,minmax,,poly,,0.9585642592672,,,,,,2,minkowski,5,uniform,2.0
none,ka_rbf,none,std,341,none,,,,True,,,364451.66356977366,,minkowski,5,uniform,2.0
