pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,C,class_weight,dual,fit_intercept,intercept_scaling,loss,max_iter,multi_class,penalty,tol
ordinal,none,none,none,,none,,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,agglomerator,none,minmax,,none,,0.8228050431731,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,ka_rbf,none,minmax,119,none,,,,,,,108832.76863175795,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,pca,selectp,minmax,,none,,,7,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,selectp,minmax,,none,sigmoid,0.7511199457713,14,,78.0369999159026,2.0,343.004383002251,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,fastica,selectp,minmax,,poly,,0.9436316379968,28,,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_rbf,none,none,550,none,,,,,,,285192.0306055433,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,lda,selectp,minmax,,none,,0.2069032955898,80,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
none,pca,none,minmax,,none,,,,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,none,selectp,none,,none,,,64,,,,,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,kernel_pca,selectp,none,,none,poly,0.3991911910712,47,,63.5313898641539,5.0,1.886231e-06,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_rbf,selectp,none,168,none,,,98,,,,387887.40511226974,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,lda,none,std,,poly,,0.12110207267,,False,,,,2,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
onehot,ka_rbf,selectp,none,202,none,,,19,,,,551462.1680417575,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,none,std,325,none,rbf,,,False,,,780.3452701226179,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
ordinal,ka_nystroem,selectp,minmax,281,none,poly,,74,,64.6775446417958,3.0,0.0001274847388,,1.0,none,True,True,1.0,squared_hinge,1000,ovr,l2,0.001
