pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,C,cap_max_iter,class_weight,coef0,degree,gamma,kernel,max_iter,multi_class,shrinking,tol
ordinal,none,none,none,,none,,,,,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,lda,none,none,,none,,0.1730472149329,,,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,fastica,none,none,,poly,,0.6252636174848,,,,,,2,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
onehot,ka_rbf,none,none,808,none,,,,,,,0.1248031724293,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,ka_nystroem,selectp,minmax,394,none,sigmoid,,40,,13.7220420097195,2.0,0.0309057839297,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,none,selectp,std,,poly,,,40,False,,,,2,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,fastica,none,minmax,,poly,,0.6178262964062,,,,,,2,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
onehot,lda,selectp,minmax,,poly,,0.5402764749947,23,,,,,2,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,ka_rbf,none,none,900,none,,,,,,,23241.666819741014,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,lda,none,none,,none,,0.7328208092216,,,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,fastica,selectp,minmax,,none,,0.3188255455248,71,,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,ka_nystroem,none,std,947,none,poly,,,False,0.0055356865009,2.0,3.84430004e-05,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,ka_rbf,selectp,none,877,none,,,19,,,,400.236022853348,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,pca,selectp,std,,none,,,93,False,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,ka_rbf,selectp,std,800,none,,,44,False,,,6.0961513717155,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,lda,selectp,minmax,,none,,0.7421552870988,84,,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,kernel_pca,none,none,,none,cosine,0.8707936452412,,,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
onehot,lda,selectp,minmax,,poly,,0.4596207729385,36,,,,,2,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,kernel_pca,selectp,minmax,,none,sigmoid,0.3334338729506,9,,55.4687808661419,4.0,0.0198284926831,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
onehot,lda,none,none,,poly,,0.2404166879863,,,,,,2,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
onehot,agglomerator,selectp,minmax,,none,,0.6183200594121,22,,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
onehot,none,selectp,std,,none,,,46,True,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,lda,none,none,,poly,,0.0254500038024,,,,,,2,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
none,kernel_pca,selectp,minmax,,none,rbf,0.4345077652733,17,,,,3.92446071e-05,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
ordinal,ka_nystroem,selectp,std,101,none,cosine,,26,False,,,,,1.0,False,none,0.1,2,1.0,rbf,10000,ovr,True,0.001
