pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,bootstrap,criterion,max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,splitter,max_samples
ordinal,none,none,none,,none,,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,selectp,std,,poly,,0.5624707242907,83,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,none,std,,none,,,,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,none,none,minmax,,poly,,,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,pca,none,std,,none,,,,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,selectp,none,,none,,0.0212415772271,47,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,selectp,minmax,,none,,0.5161095696979,56,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_rbf,selectp,minmax,43,none,,,11,,,,1.2122402816673,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,none,minmax,,poly,,0.0605647253676,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,none,selectp,minmax,,poly,,,25,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,selectp,std,363,none,rbf,,96,False,,,7.9260592e-06,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,none,minmax,,none,,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,none,none,none,,poly,,,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,pca,selectp,minmax,,none,,,14,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,selectp,std,645,none,,,79,True,,,3.4167572e-06,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,pca,selectp,none,,none,,,56,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,pca,selectp,std,,none,,,6,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,none,std,,none,,0.1178147014529,,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,selectp,std,804,none,rbf,,43,False,,,246853.1979575811,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,selectp,std,,poly,,0.9753437334099,50,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,none,minmax,776,none,cosine,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,none,std,985,none,sigmoid,,,True,74.668811766437,5.0,0.0027587362748,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,pca,selectp,minmax,,none,,,44,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,fastica,selectp,minmax,,none,,0.7767559453354,25,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,selectp,std,,poly,,,82,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,fastica,selectp,none,,poly,,0.9676644240166,22,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,agglomerator,selectp,std,,poly,,0.8625117779851,95,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,none,std,846,none,rbf,,,False,,,54.6919617903442,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,agglomerator,none,minmax,,poly,,0.0524771284985,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,selectp,minmax,,poly,,0.7038470929533,90,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_nystroem,none,minmax,998,none,sigmoid,,,,57.042341059026,5.0,972.0224787328818,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,selectp,minmax,,none,,0.5293312968038,38,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_rbf,none,std,915,none,,,,False,,,0.0274971919794,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,selectp,none,456,none,rbf,,41,,,,10.3675823027382,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,kernel_pca,selectp,none,,none,poly,0.7573520930962,96,,75.9873240937107,5.0,7.7157304e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_nystroem,none,none,25,none,cosine,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,selectp,none,161,none,rbf,,57,,,,0.0516452602302,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,selectp,minmax,,none,,,64,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,selectp,std,,poly,,0.0268898813965,15,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,selectp,minmax,,poly,,0.9673843688964,33,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,agglomerator,selectp,minmax,,poly,,0.6189074404287,66,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,kernel_pca,selectp,std,,none,rbf,0.5569146684017,66,False,,,0.0002503507898,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,none,std,,poly,,0.302990335253,,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,none,std,,none,,0.9299987548541,,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,selectp,minmax,997,none,cosine,,77,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,agglomerator,selectp,none,,poly,,0.8298651470845,73,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_nystroem,none,minmax,949,none,poly,,,,25.1200116524723,3.0,0.0048716803066,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,kernel_pca,none,minmax,,none,rbf,0.7855626790597,,,,,42.6985798584082,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,kernel_pca,none,std,,none,cosine,0.5238000211826,,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_nystroem,none,minmax,815,none,cosine,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,pca,selectp,none,,none,,,68,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,lda,selectp,none,,none,,0.443873387502,11,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,agglomerator,none,minmax,,poly,,0.2107680807751,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,none,std,792,none,,,,True,,,129395.87999830449,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,none,minmax,,poly,,0.3641803052395,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,none,none,none,,none,,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_rbf,selectp,none,596,none,,,73,,,,0.0434972142276,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,none,minmax,,none,,0.2701719567612,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,none,none,568,none,,,,,,,3.22468653e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_rbf,none,minmax,355,none,,,,,,,475498.95607979584,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_rbf,selectp,none,412,none,,,82,,,,6.22275034e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,selectp,std,,none,,0.8182006624647,24,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,selectp,none,,poly,,0.5570555191854,62,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,none,selectp,minmax,,none,,,13,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,pca,selectp,std,,none,,,46,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,none,none,590,none,,,,,,,2.38346266e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,selectp,minmax,,poly,,0.9980140609263,48,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,none,none,,poly,,0.9880102776402,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,pca,selectp,std,,none,,,95,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,selectp,minmax,390,none,,,20,,,,0.6753649488329,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,none,std,378,none,,,,True,,,339769.56077180104,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_rbf,none,minmax,232,none,,,,,,,34.0881217976764,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,none,selectp,none,,poly,,,44,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_nystroem,selectp,minmax,882,none,rbf,,83,,,,9892.839653317697,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,none,none,std,,poly,,,,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,none,selectp,minmax,,poly,,,90,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,none,std,245,none,poly,,,True,81.3223546057808,5.0,0.0027906083603,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,none,minmax,66,none,sigmoid,,,,10.5372509116009,3.0,0.2295308246774,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,agglomerator,none,std,,none,,0.73127314265,,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,selectp,none,,poly,,0.3363546460056,35,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,selectp,minmax,,none,,0.7938438069686,91,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,selectp,none,,poly,,0.1170838692316,12,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,kernel_pca,selectp,minmax,,none,cosine,0.3983957506648,12,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,kernel_pca,selectp,minmax,,none,rbf,0.2290059464543,37,,,,1.0412303282567,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,lda,none,none,,none,,0.6868891828033,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,selectp,std,,poly,,0.1114218189542,77,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,none,none,561,none,cosine,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,fastica,none,none,,poly,,0.2838832329071,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_rbf,selectp,minmax,986,none,,,75,,,,1839.4240242724688,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,kernel_pca,none,std,,none,sigmoid,0.3563987036988,,False,80.2215777610924,4.0,1089.018181615256,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_rbf,selectp,std,962,none,,,75,True,,,0.071733140361,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,pca,none,none,,none,,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,none,std,,none,,0.2382655767969,,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,pca,selectp,none,,none,,,75,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,selectp,minmax,,poly,,0.8022530475477,77,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,selectp,minmax,,none,,,40,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,selectp,none,,none,,0.3233847079268,11,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,kernel_pca,none,minmax,,none,sigmoid,0.8285372176654,,,43.01456203559,4.0,164958.3850934371,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_nystroem,selectp,std,621,none,cosine,,76,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_rbf,selectp,none,179,none,,,47,,,,0.0003904044159,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,pca,none,minmax,,none,,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_nystroem,none,none,97,none,rbf,,,,,,53.4519164792631,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,ka_nystroem,selectp,std,556,none,sigmoid,,92,False,54.1822398788158,2.0,0.006808258279,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,kernel_pca,selectp,std,,none,poly,0.9819979251043,67,True,31.2953457110128,3.0,1.0552527164178,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,selectp,minmax,,none,,0.1243669981139,93,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,none,selectp,none,,poly,,,48,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,selectp,std,,poly,,0.0198134730128,33,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,selectp,std,,none,,0.2797932033943,34,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,selectp,minmax,661,none,poly,,100,,57.8677624362178,5.0,2.47770188e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_rbf,none,std,702,none,,,,True,,,20.4084397934792,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,agglomerator,selectp,none,,poly,,0.8883467561532,33,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,kernel_pca,none,none,,none,poly,0.5707790622211,,,33.4635131170346,2.0,0.8375171627744,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,pca,none,none,,none,,,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,selectp,std,,none,,0.3157778239088,45,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,lda,selectp,none,,none,,0.5040151903617,87,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,pca,selectp,minmax,,none,,,6,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,none,std,,none,,0.5508656314589,,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,agglomerator,none,std,,poly,,0.2674458831047,,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,selectp,std,,none,,0.1545136565526,66,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,none,selectp,none,,none,,,62,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,none,std,799,none,,,,True,,,98238.20887332845,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,kernel_pca,none,none,,none,poly,0.6001716895403,,,22.9196834969418,3.0,0.0076161754814,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,none,none,,poly,,0.1900543094005,,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,lda,none,std,,poly,,0.2408855625727,,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,none,std,,poly,,0.9051503051183,,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,agglomerator,none,none,,none,,0.4022259689212,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,selectp,std,,none,,0.8551638861099,39,True,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,ka_rbf,none,std,881,none,,,,False,,,1.2613446e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,fastica,none,none,,none,,0.3642886262581,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,pca,selectp,none,,none,,,88,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_nystroem,none,std,191,none,poly,,,True,44.2853448862882,5.0,2.1024422748348,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,selectp,none,,none,,0.4905837539812,54,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,none,none,,none,,0.8885475981381,,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,none,selectp,minmax,,poly,,,41,,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,kernel_pca,none,std,,none,sigmoid,0.2508150747105,,False,58.6163393727239,5.0,0.0031374328817,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,none,std,759,none,,,,True,,,5.3388133761799,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,fastica,none,std,,none,,0.1444180321181,,False,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,fastica,none,std,,poly,,0.366730658424,,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,selectp,std,,poly,,0.0254080874836,72,True,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,kernel_pca,selectp,none,,none,sigmoid,0.8037626264775,3,,79.3401587013233,4.0,831.2804857189547,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,agglomerator,selectp,std,,poly,,0.1096970407664,26,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
none,lda,selectp,std,,poly,,0.5998993642097,47,False,,,,2,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,ka_rbf,selectp,minmax,168,none,,,6,,,,1.75842632e-05,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
ordinal,agglomerator,selectp,none,,none,,0.0397148215425,17,,,,,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
onehot,kernel_pca,none,std,,none,sigmoid,0.1185982013565,,True,15.3374447597281,4.0,0.0185449943927,,True,gini,0,sqrt,0.0,2,2,2048,best,1.0
