pp@cat_encoder,pp@decomposition,pp@featureselector,pp@scaler,pp@feature_map_size,pp@featuregen,pp@kernel_mapper_kernel,pp@projection_features,pp@selectp_percentile,pp@std_with_std,pp@kernel_mapper_coef0,pp@kernel_mapper_degree,pp@kernel_mapper_gamma,pp@poly_degree,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample
ordinal,none,none,none,,none,,,,,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,fastica,selectp,std,,none,,0.5281310321199,73,False,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,std,,poly,,0.3867894243365,42,True,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,selectp,std,302,none,poly,,61,True,90.7898457510628,2.0,0.0212626292607,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,minmax,,poly,,0.2679823719236,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,lda,none,std,,poly,,0.4520812716323,,False,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_nystroem,selectp,minmax,166,none,sigmoid,,37,,79.2498905608917,4.0,585851.0562438201,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
none,agglomerator,none,minmax,,poly,,0.8778819238443,,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,ka_rbf,selectp,std,409,none,,,95,True,,,10.6546113676658,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_nystroem,none,none,945,none,rbf,,,,,,12.4179858885198,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,kernel_pca,selectp,std,,none,rbf,0.28554551896,1,False,,,4.830434e-06,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_nystroem,selectp,std,5,none,poly,,84,False,27.1551095424781,4.0,450.4556685990713,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,ka_nystroem,none,minmax,948,none,sigmoid,,,,60.7545359790794,5.0,2075.165001096211,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
onehot,none,selectp,minmax,,poly,,,94,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,lda,selectp,minmax,,poly,,0.0452259842869,68,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,minmax,,poly,,0.3942873921817,32,,,,,2,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,agglomerator,selectp,std,,none,,0.5601222484182,30,True,,,,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
ordinal,kernel_pca,selectp,none,,none,rbf,0.3628754900549,17,,,,0.0425712181628,,1.0,1e-06,0.3,6,1.0,1e-06,1.0,1.0
