workflow,openmlid,parallel tasks assigned,num cores per task,memory limit per task
lcdb.workflow.sklearn.KNNWorkflow,3,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,12,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,23,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,31,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,54,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,181,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,188,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1049,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1067,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1111,17,11,64
lcdb.workflow.sklearn.KNNWorkflow,1169,37,5,64
lcdb.workflow.sklearn.KNNWorkflow,1457,24,8,64
lcdb.workflow.sklearn.KNNWorkflow,1461,60,3,64
lcdb.workflow.sklearn.KNNWorkflow,1464,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1468,51,3,64
lcdb.workflow.sklearn.KNNWorkflow,1475,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1486,74,2,64
lcdb.workflow.sklearn.KNNWorkflow,1487,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1489,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1494,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1515,30,6,64
lcdb.workflow.sklearn.KNNWorkflow,1590,71,2,64
lcdb.workflow.sklearn.KNNWorkflow,1596,31,6,64
lcdb.workflow.sklearn.KNNWorkflow,4134,17,11,64
lcdb.workflow.sklearn.KNNWorkflow,4135,35,5,64
lcdb.workflow.sklearn.KNNWorkflow,4534,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,4538,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,4541,29,6,64
lcdb.workflow.sklearn.KNNWorkflow,23517,45,4,64
lcdb.workflow.sklearn.KNNWorkflow,40498,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40668,58,3,64
lcdb.workflow.sklearn.KNNWorkflow,40670,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40685,41,4,64
lcdb.workflow.sklearn.KNNWorkflow,40701,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40900,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40975,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40978,18,10,64
lcdb.workflow.sklearn.KNNWorkflow,40981,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40982,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40983,192,1,64
