workflow,openmlid,parallel tasks assigned,num cores per task,memory limit per task
lcdb.workflow.keras.DenseNNWorkflow,46905,15,12,64
lcdb.workflow.keras.DenseNNWorkflow,46906,48,4,64
lcdb.workflow.keras.DenseNNWorkflow,46908,33,5,64
lcdb.workflow.keras.DenseNNWorkflow,46910,37,5,64
lcdb.workflow.keras.DenseNNWorkflow,46911,29,6,64
lcdb.workflow.keras.DenseNNWorkflow,46912,12,16,64
lcdb.workflow.keras.DenseNNWorkflow,46913,48,4,64
lcdb.workflow.keras.DenseNNWorkflow,46915,30,6,64
lcdb.workflow.keras.DenseNNWorkflow,46916,27,7,64
lcdb.workflow.keras.DenseNNWorkflow,46918,38,5,64
lcdb.workflow.keras.DenseNNWorkflow,46919,28,6,64
lcdb.workflow.keras.DenseNNWorkflow,46920,37,5,64
lcdb.workflow.keras.DenseNNWorkflow,46921,40,4,64
lcdb.workflow.keras.DenseNNWorkflow,46922,19,10,64
lcdb.workflow.keras.DenseNNWorkflow,46924,28,6,64
lcdb.workflow.keras.DenseNNWorkflow,46927,35,5,64
lcdb.workflow.keras.DenseNNWorkflow,46929,37,5,64
lcdb.workflow.keras.DenseNNWorkflow,46930,33,5,64
lcdb.workflow.keras.DenseNNWorkflow,46932,27,7,64
lcdb.workflow.keras.DenseNNWorkflow,46933,12,16,64
lcdb.workflow.keras.DenseNNWorkflow,46935,32,6,64
lcdb.workflow.keras.DenseNNWorkflow,46937,28,6,64
lcdb.workflow.keras.DenseNNWorkflow,46938,36,5,64
lcdb.workflow.keras.DenseNNWorkflow,46939,12,16,64
lcdb.workflow.keras.DenseNNWorkflow,46940,19,10,64
lcdb.workflow.keras.DenseNNWorkflow,46941,36,5,64
lcdb.workflow.keras.DenseNNWorkflow,46947,34,5,64
lcdb.workflow.keras.DenseNNWorkflow,46950,30,6,64
lcdb.workflow.keras.DenseNNWorkflow,46952,37,5,64
lcdb.workflow.keras.DenseNNWorkflow,46955,18,10,64
lcdb.workflow.keras.DenseNNWorkflow,46956,38,5,64
lcdb.workflow.keras.DenseNNWorkflow,46958,30,6,64
lcdb.workflow.keras.DenseNNWorkflow,46960,29,6,64
lcdb.workflow.keras.DenseNNWorkflow,46962,38,5,64
lcdb.workflow.keras.DenseNNWorkflow,46963,34,5,64
lcdb.workflow.keras.DenseNNWorkflow,46969,32,6,64
lcdb.workflow.keras.DenseNNWorkflow,46979,28,6,64
lcdb.workflow.keras.DenseNNWorkflow,46980,34,5,64
