workflow,openmlid,parallel tasks assigned,num cores per task,memory limit per task
lcdb.workflow.sklearn.KNNWorkflow,3,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,12,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,23,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,31,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,54,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,181,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,188,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1049,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1067,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1111,17,11,64
lcdb.workflow.sklearn.KNNWorkflow,1169,37,5,64
lcdb.workflow.sklearn.KNNWorkflow,1457,24,8,64
lcdb.workflow.sklearn.KNNWorkflow,1461,61,3,64
lcdb.workflow.sklearn.KNNWorkflow,1464,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1468,51,3,64
lcdb.workflow.sklearn.KNNWorkflow,1475,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1486,73,2,64
lcdb.workflow.sklearn.KNNWorkflow,1487,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1489,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1494,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,1515,30,6,64
lcdb.workflow.sklearn.KNNWorkflow,1590,70,2,64
lcdb.workflow.sklearn.KNNWorkflow,1596,31,6,64
lcdb.workflow.sklearn.KNNWorkflow,4134,16,12,64
lcdb.workflow.sklearn.KNNWorkflow,4135,35,5,64
lcdb.workflow.sklearn.KNNWorkflow,4534,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,4538,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,4541,29,6,64
lcdb.workflow.sklearn.KNNWorkflow,23517,45,4,64
lcdb.workflow.sklearn.KNNWorkflow,40498,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40668,57,3,64
lcdb.workflow.sklearn.KNNWorkflow,40670,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40685,41,4,64
lcdb.workflow.sklearn.KNNWorkflow,40701,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40900,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40975,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40978,18,10,64
lcdb.workflow.sklearn.KNNWorkflow,40981,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40982,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40983,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40984,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,40996,16,12,64
lcdb.workflow.sklearn.KNNWorkflow,41027,65,2,64
lcdb.workflow.sklearn.KNNWorkflow,41138,49,3,64
lcdb.workflow.sklearn.KNNWorkflow,41142,17,11,64
lcdb.workflow.sklearn.KNNWorkflow,41143,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,41144,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,41145,112,1,64
lcdb.workflow.sklearn.KNNWorkflow,41146,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,41147,14,13,64
lcdb.workflow.sklearn.KNNWorkflow,41150,43,4,64
lcdb.workflow.sklearn.KNNWorkflow,41156,192,1,64
lcdb.workflow.sklearn.KNNWorkflow,41157,15,12,64
lcdb.workflow.sklearn.KNNWorkflow,41158,28,6,64
lcdb.workflow.sklearn.KNNWorkflow,41159,28,6,64
lcdb.workflow.sklearn.KNNWorkflow,41161,27,7,64
lcdb.workflow.sklearn.KNNWorkflow,41162,29,6,64
lcdb.workflow.sklearn.KNNWorkflow,41163,13,14,64
lcdb.workflow.sklearn.KNNWorkflow,41164,29,6,64
lcdb.workflow.sklearn.KNNWorkflow,41165,32,6,64
lcdb.workflow.sklearn.KNNWorkflow,41166,51,3,64
lcdb.workflow.sklearn.KNNWorkflow,41167,98,1,64
lcdb.workflow.sklearn.KNNWorkflow,41168,47,4,64
lcdb.workflow.sklearn.KNNWorkflow,41169,42,4,64
lcdb.workflow.sklearn.KNNWorkflow,42732,21,9,64
lcdb.workflow.sklearn.KNNWorkflow,42733,25,7,64
lcdb.workflow.sklearn.KNNWorkflow,42734,34,5,64
lcdb.workflow.sklearn.KNNWorkflow,42742,81,2,64
lcdb.workflow.sklearn.KNNWorkflow,42746,17,11,64
lcdb.workflow.sklearn.KNNWorkflow,42769,32,6,64
lcdb.workflow.sklearn.KNNWorkflow,43072,6,32,64
