workflow,openmlid,parallel tasks assigned,num cores per task,memory limit per task
lcdb.workflow.keras.DenseNNWorkflow,46905,5,14,90
lcdb.workflow.sklearn.KNNWorkflow,46905,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46906,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46908,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46910,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46911,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46912,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46913,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46915,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46916,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46918,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46919,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46920,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46921,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46922,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46924,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46927,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46929,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46930,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46932,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46933,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46935,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46937,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46938,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46939,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46940,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46941,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46947,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46950,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46952,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46955,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46956,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46958,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46960,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46962,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46963,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46969,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46979,64,3,128
lcdb.workflow.sklearn.KNNWorkflow,46980,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46905,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46906,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46908,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46910,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46911,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46912,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46913,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46915,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46916,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46918,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46919,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46920,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46921,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46922,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46924,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46927,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46929,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46930,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46932,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46933,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46935,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46937,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46938,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46939,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46940,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46941,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46947,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46950,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46952,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46955,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46956,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46958,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46960,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46962,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46963,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46969,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46979,64,3,128
lcdb.workflow.sklearn.LibLinearWorkflow,46980,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46905,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46906,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46908,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46910,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46911,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46912,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46913,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46915,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46916,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46918,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46919,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46920,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46921,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46922,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46924,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46927,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46929,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46930,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46932,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46933,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46935,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46937,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46938,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46939,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46940,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46941,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46947,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46950,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46952,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46955,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46956,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46958,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46960,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46962,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46963,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46969,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46979,64,3,128
lcdb.workflow.sklearn.LibSVMWorkflow,46980,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46905,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46906,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46908,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46910,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46911,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46912,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46913,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46915,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46916,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46918,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46919,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46920,64,3,128
lcdb.workflow.sklearn.TreesEnsembleWorkflow,46921,64,3,128
