workflow,openmlid,parallel tasks assigned,num cores per task,memory limit per task
lcdb.workflow.keras.DenseNNWorkflow,46905,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46906,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46908,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46910,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46911,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46912,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46913,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46915,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46916,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46918,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46919,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46920,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46921,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46922,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46924,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46927,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46929,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46930,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46932,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46933,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46935,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46937,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46938,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46939,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46940,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46941,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46947,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46950,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46952,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46955,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46956,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46958,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46960,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46962,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46963,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46969,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46979,64,3,128
lcdb.workflow.keras.DenseNNWorkflow,46980,64,3,128
