workflow,openmlid,parallel tasks assigned,num cores per task,memory limit per task
lcdb.workflow.keras.DenseNNWorkflow,46905,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46906,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46908,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46910,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46911,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46912,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46913,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46915,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46916,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46918,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46919,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46920,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46921,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46922,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46924,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46927,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46929,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46930,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46932,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46933,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46935,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46937,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46938,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46939,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46940,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46941,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46947,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46950,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46952,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46955,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46956,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46958,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46960,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46962,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46963,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46969,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46979,5,18,90
lcdb.workflow.keras.DenseNNWorkflow,46980,5,18,90
